Job Role,Company Name,Location,Date Posted,Apply Link,Company Link,No. of Applicants,Company / Job Details,Source
Python Developer,Umruz Tech Solutions Private Limited,"Bangalore City, Bengaluru, Karnataka",Recent,https://www.simplyhired.co.in/job/EGJz5uHtAIsu7oYTRnuZI9AbptpqOakDnayLfzMqqsCAC30ge087Kw,N/A,N/A,"Company: Umruz Tech Solutions Private Limited | Location: Bangalore City, Bengaluru, Karnataka | Salary: Not disclosed | Umruz Tech Solutions Private Limited —Bangalore City, Bengaluru, Karnataka",SimplyHired
Junior Python Developer,StatValu Private Limited,"Bengaluru, Karnataka",Recent,https://www.simplyhired.co.in/job/hPOPyyLFyHHDo9eEV_oCpftlszAg6BZIsQy0lGM-lh8YsluLgSl1rg,N/A,N/A,"Company: StatValu Private Limited | Location: Bengaluru, Karnataka | Salary: Not disclosed | StatValu Private Limited —Bengaluru, Karnataka",SimplyHired
Python Developer with AI,Zipigo technosoft pvt ltd,"Bengaluru, Karnataka",Recent,https://www.simplyhired.co.in/job/UQ8vmIq8s1KXvGZkez3ifG0HCeqkUNBs5I8ePwXb38FrDf-dgUY09Q,N/A,N/A,"Company: Zipigo technosoft pvt ltd | Location: Bengaluru, Karnataka | Salary: Not disclosed | Zipigo technosoft pvt ltd —Bengaluru, Karnataka",SimplyHired
