Job Role,Company Name,Location,Date Posted,Apply Link,Company Link,No. of Applicants,Company / Job Details,Source
Data Analyst (Arabic),Lightcast,"United Kingdom (UK), Italy, Spain",2026-08-12,https://jobs.lever.co/economicmodeling/58cd3476-a99a-432a-a2be-5de174607beb,https://lightcast.io,N/A,Workplace: Remote | Type: Full_time | Seniority: Entry_level | Salary: N/A,Remote.com
Senior Data Analyst,Bybit,Global / Remote,2026-07-27,https://job-boards.eu.greenhouse.io/bybit/jobs/4931787101,https://www.bybit.com,N/A,Workplace: Remote | Type: Full_time | Seniority: Senior | Salary: N/A,Remote.com
Sr. Data Analyst,Getlabs,Global / Remote,2026-07-22,https://jobs.lever.co/getlabs/aa87d906-77b2-40af-8d1f-caee8a0b6bcd,https://getlabs.com,N/A,Workplace: Remote | Type: Full_time | Seniority: Senior | Salary: N/A,Remote.com
Senior Data Analyst,Creative Fabrica,Global / Remote,2026-07-21,https://job-boards.greenhouse.io/creativefabrica/jobs/4933376101,http://www.creativefabrica.com/,N/A,Workplace: Remote | Type: Full_time | Seniority: Senior | Salary: N/A,Remote.com
Product Data Analyst,Finom,"Poland, United Kingdom (UK), Cyprus, Estonia, Spain",2026-06-23,https://jobs.eu.lever.co/pnlfin/b3b43fa2-88be-4504-aa11-084a31f7642c,https://careers.finom.co/,N/A,Workplace: Remote | Type: Full_time | Seniority: Senior | Salary: N/A,Remote.com
Big Data Analyst,Kyivstar,Ukraine,2026-06-09,https://jobs.lever.co/kyivstar/36c222dd-9aef-44e2-b521-d1f96d672871,http://kyivstar.ua,N/A,Workplace: Remote | Type: Full_time | Seniority: N/a | Salary: N/A,Remote.com
