Job Role,Company Name,Location,Date Posted,Apply Link,Company Link,No. of Applicants,Company / Job Details,Source
Contract Management Analyst - Financial Data & Technology,DonePlus,"London, England, United Kingdom",2026-08-19,https://jobs.workable.com/view/v3fkr3G385ux6KkNx76PDd/contract-management-analyst---financial-data-%26-technology-in-london-at-doneplus,https://jobs.workable.com/company/rXvTkQrFkgLGu1bMj94yS6/jobs-at-doneplus,N/A,"Workplace: On_site | Type: Full-time | We are looking for a Contract Management Analyst – Financial Data & Technology to support the management of vendor contracts, renewals and commercial records within a leading investment-management environment. This is a contract-management and vendor-governance role , with a strong focus on financia",Workable
Financial Data & Vendor Analyst,DonePlus,"London, England, United Kingdom",2026-08-14,https://jobs.workable.com/view/puJpLX15VoEU6Zhjqpaz8G/financial-data-%26-vendor-analyst-in-london-at-doneplus,https://jobs.workable.com/company/rXvTkQrFkgLGu1bMj94yS6/jobs-at-doneplus,N/A,"Workplace: On_site | Type: Full-time | We are looking for a Financial Data & Vendor Analyst to support the management of financial data, research and technology providers within a leading investment-management environment. You will help coordinate vendor requests, contracts, renewals, budgets and reporting, while maintaining accurate inf",Workable
"Senior Analyst, Data & Insights",Zero100,"London, England, United Kingdom",2026-05-19,https://jobs.workable.com/view/wHZuGYb4AJA5w8GdkEGeG7/hybrid-senior-analyst%2C-data-%26-insights-in-london-at-zero100,https://jobs.workable.com/company/axeAFYMHwn6SbPJK3wM38L/jobs-at-zero100,N/A,"Workplace: Hybrid | Type: Full-time | What we do: Zero100 is a membership-based intelligence company that connects, informs, and inspires the world’s most influential C-Level Operations & Supply Chain Officers – and their teams – to unlock the true potential of the AI and Digital Revolution. Our members use Zero100’s our research, advis",Workable
Reliability Data Analyst,Alexander Dennis,"Larbert, Scotland, United Kingdom",2026-08-11,https://jobs.workable.com/view/4LK93c582cW2avNGZi8rsR/reliability-data-analyst-in-larbert-at-alexander-dennis,https://jobs.workable.com/company/4JeK3FQ2gd2V6uWFfahL3K/jobs-at-alexander-dennis,N/A,"Workplace: On_site | Type: Full-time | Job Title: Reliability Data Analyst Location : Larbert Our Vision & Why It Matters At Alexander Dennis, our vision is to lead the evolution of sustainable on-road mass transportation and mobility. We design, deliver, and support market-leading buses and coaches that help reduce emissions, improve ai",Workable
Platform Data Analyst,Runware,"TELECOMMUTE, United Kingdom",2026-05-12,https://jobs.workable.com/view/aDsWSTbd19UvLijRwZrcyk/remote-platform-data-analyst-in-united-kingdom-at-runware,https://jobs.workable.com/company/nApnpZ9oY2koxJt1dUr2uZ/jobs-at-runware,N/A,"Workplace: Remote | Type: Full-time | About Runware Runware is building a high-performance, full-stack AI media-creation platform — empowering developers and companies to generate any type of media instantly. As we scale fast and integrate increasingly complex models, we need stronger visibility, analytics, and monitoring across the who",Workable
Data Business Analyst - Fixed Term Contract,Livestock Information,"TELECOMMUTE, United Kingdom",2026-08-06,https://jobs.workable.com/view/urSbkUrGM5rkySSdf3cVmH/remote-data-business-analyst---fixed-term-contract-in-united-kingdom-at-livestock-information,https://jobs.workable.com/company/ba6MQW7QG7EtCTmdmKrMJt/jobs-at-livestock-information,N/A,"Workplace: Remote | Type: Full-time | The salary for this role is £45,000. This role is being offered on a 12 Month Fixed Term Contract. Are you experienced in gathering and translating business requirements into effective data and reporting solutions? Do you enjoy working with stakeholders, analysing data, and collaborating with techni",Workable
Market Data Vendor Management Analyst - Investment Management,DonePlus,"London, England, United Kingdom",2026-08-05,https://jobs.workable.com/view/uP28jAZbKrByGCEPzVULec/market-data-vendor-management-analyst---investment-management-in-london-at-doneplus,https://jobs.workable.com/company/rXvTkQrFkgLGu1bMj94yS6/jobs-at-doneplus,N/A,"Workplace: On_site | Type: Full-time | We are seeking a Vendor Operations Analyst to support the management and administration of financial data, research, alternative data and other strategic third-party vendors for a highly respected global alternative investment manager. This is an outstanding opportunity for someone looking to build ",Workable
Senior Product Data Analyst,Booksy,"TELECOMMUTE, United Kingdom",2026-07-22,https://jobs.workable.com/view/bmFmxuJGMijBpiW3qWF7dk/remote-senior-product-data-analyst-in-united-kingdom-at-booksy,https://jobs.workable.com/company/vGoKGssgakEm3sA5iDeKLx/jobs-at-booksy,N/A,"Workplace: Remote | Type: Full-time | Booksy connects beauty, wellness and health professionals with local customers, powering millions of appointments annually. As a Booksy employee, you’ll join a team of 800+ around the world building the fastest growing appointments marketplace. Regardless of the position you hold, you’ll make a dire",Workable
Data Development & Support Analyst - Fixed Term Contract,Livestock Information,"TELECOMMUTE, United Kingdom",2026-07-08,https://jobs.workable.com/view/vW5PXnwi713mJ1xzLAVxMc/remote-data-development-%26-support-analyst---fixed-term-contract-in-united-kingdom-at-livestock-information,https://jobs.workable.com/company/ba6MQW7QG7EtCTmdmKrMJt/jobs-at-livestock-information,N/A,"Workplace: Remote | Type: Full-time | The salary for this role is £40,000. This role is being offered on a 12 Month Fixed Term Contract. Are you experienced in working with SQL, Databricks, and cloud-based data platforms to deliver high-quality data solutions? Do you enjoy solving complex data challenges, improving processes, and workin",Workable
Claims Data Analyst,Zego,"London, England, United Kingdom",2026-07-06,https://jobs.workable.com/view/4GCazeDNoFFZDqarWckdvc/hybrid-claims-data-analyst-in-london-at-zego,https://jobs.workable.com/company/rsSU4ufhxdtwKP7G5NRsHK/jobs-at-zego,N/A,"Workplace: Hybrid | Type: Full-time | About Zego At Zego, we understand that traditional motor insurance holds good drivers back. It's too complicated, too expensive, and it doesn't reflect how well you actually drive. Since 2016, we have been on a mission to change that by offering the lowest priced insurance for good drivers. From van",Workable
