Job Role,Company Name,Location,Date Posted,Apply Link,Company Link,No. of Applicants,Company / Job Details,Source
Sales Development Representative,RISA Labs,Bangalore,12/09/2026,https://www.instahyre.com/job-425467-sales-development-representative-at-risa-labs-bangalore/,https://www.risa.com,Actively Hiring,"Company: RISA Labs | Skills: Sales, International Sales, LinkedIn Sales Navigator, Business Development, Hubspot, ZoomInfo, Clay, Corporate Sales, LinkedIn, Telecalling, Revenue Management, Claude | Target: Sales Development Representative",Instahyre
Sales Development Representative,Delhivery,Bangalore,12/09/2026,https://www.instahyre.com/job-411588-sales-development-representative-at-delhivery-bangalore/,https://www.delhivery.com,Actively Hiring,"Company: Delhivery | As a Sales Development Specialist, you will beresponsible for driving enterprise lead generation and revenue contribution for the India markets. The incumbent should have the ability to identify new prospects and problem statements, and be responsible for the total addressable market penetration Responsibilities: Understanding OS1 TMS product offerings and use cases, we solve. Develop and execute demand generation programs across multiple channels, including Outbound calls and email, webinars, events, etc., to contact potential customers and generate new sales opportunities. Ability to do approx daily 80 calls to be able to connect with 30-40 leads and align around 5-10 meetings on a weekly basis. Build a predictable new sales opportunity pipeline by scouting for opportunities from the target market segment. Knack to achieve sales target numbers, especially focused on building the top of the sales funnel. Understanding customers' needs and identifying sales opportu",Instahyre
Sales Development Representative,Saara,Bangalore,12/09/2026,https://www.instahyre.com/job-402744-sales-development-representative-at-saara-bangalore/,https://www.saara.in,Actively Hiring,"Company: Saara | Skills: Business Development, Direct Sales, International Sales, Sales, Telecalling | Target: Sales Development Representative",Instahyre
Sales Development Representative,eDataBae,"Mumbai,Navi Mumbai",12/09/2026,https://www.instahyre.com/job-425383-sales-development-representative-at-edatabae-mumbai-navi-mumbai/,https://www.edatabae.com,Actively Hiring,"Company: eDataBae | Skills: IT staffing, US IT staffing, lead generation, sales | Target: Sales Development Representative",Instahyre
Sales Development Representative,Oliv AI,Work From Home,12/09/2026,https://www.instahyre.com/job-422610-sales-development-representative-at-oliv-ai-work-from-home/,https://www.olivai.org,Actively Hiring,"Company: Oliv AI | Skills: Business Development, Corporate Sales, International Sales, Sales | Target: Sales Development Representative",Instahyre
Sales Development Representative,IONAGE,Bangalore,12/09/2026,https://www.instahyre.com/job-417169-sales-development-representative-at-ionage-bangalore/,https://www.ionage.com,Actively Hiring,"Company: IONAGE | Skills: CRM, HubSpot, SDR, Salesforce, Zoho, business development, inside sales, sales | Target: Sales Development Representative",Instahyre
Sales Development Representative,Arrowhead,"Bangalore,Mumbai",12/09/2026,https://www.instahyre.com/job-420677-sales-development-representative-at-arrowhead-bangalore-mumbai/,https://www.arrowhead.in,Actively Hiring,"Company: Arrowhead | We're looking for a highly driven Onsite Associate to work closely with our Partnerships and GTM team in driving on-ground execution with enterprise clients (Banks/NBFCs). This is a high-ownership, field-heavy role where you'll be directly involved in client interactions, implementation, and partner coordination for cutting-edgeAI/Voice AI solutions. If you enjoy solving real-world problems, working with clients face-to-face, and being at the center of execution, this role is for you. The core responsibilities for the job include the following: Prospecting and Qualification: Identify high-quality target accounts (BFSI, fintech, enterprise). Research ICPs, buyer personas, and use cases before outreach. Outbound + Inbound Sales: Drive outbound via LinkedIn, email, calls, and creative channels. Qualify inbound leads and book meetings for founders/sales. First Conversations That Convert: Run discovery calls to understand intent and pain points. Clearly pitch value and ",Instahyre
Sales Development Representative,IONAGE,Bangalore,12/09/2026,https://www.instahyre.com/job-416075-sales-development-representative-at-ionage-bangalore/,https://www.ionage.com,Actively Hiring,"Company: IONAGE | Skills: HubSpot, Salesforce, Zoho, business development, crm, inside sales, saas, sdr | Target: Sales Development Representative",Instahyre
Sales Development Representative,Truva,Mumbai,12/09/2026,https://www.instahyre.com/job-392755-sales-development-representative-at-truva-mumbai/,https://www.truva.in,Actively Hiring,"Company: Truva | Skills: Sales, Business Development, Direct Sales, Real Estate Broking | Target: Sales Development Representative",Instahyre
Sales Development Representative,Zenskar,Bangalore,12/09/2026,https://www.instahyre.com/job-435725-sales-development-representative-at-zenskar-2-bangalore/,https://www.zenskar.com,Actively Hiring,"Company: Zenskar | Skills: Lead Generation, Business Development, International Sales, Sales | Target: Sales Development Representative",Instahyre
Sales Development Representative,CashBook,Bangalore,12/09/2026,https://www.instahyre.com/job-429834-sales-development-representative-at-cashbook-bangalore/,https://www.cashbook.com,Actively Hiring,"Company: CashBook | We are looking for a proactive and relationship-driven Sales Development Representative (SDR) to manage and grow our partner ecosystem. This role focuses on building strong relationships with channel partners who can regularly refer businesses to us and help drive consistent growth. As an SDR, you will be responsible for identifying new partners, nurturing existing relationships, generating business referrals, assisting with onboarding and activation of referred businesses, and ensuring timely partner payouts. The candidate will have responsibilities across the following functions : Partner Acquisition and Relationship Management: Identify and onboard new channel partners across target categories. Build long-term relationships with existing partners. Conduct regular follow-ups and engagement calls with partners. Maintain an active pipeline of potential referral partners. Business Referral Management: Collect and track business referrals from partners. Coordinate wit",Instahyre
Senior Sales Development Representative,Zzazz,Mumbai,12/09/2026,https://www.instahyre.com/job-440086-senior-sales-development-representative-at-zzazz-mumbai/,https://www.zzazz.com,Actively Hiring,"Company: Zzazz | We are looking for a Senior SDR who has spent 4-6 years selling ad tech solutions to brands, advertisers, and agency trading desks. You understand the buy side; you've worked with CMOs, brand managers, media planners, and performance marketing leads. You know what it means to be told ""our CPMs are fine"", and you know exactly why that answer is wrong. The candidate will have responsibilities across the following functions : Pipeline Generation Brand and Advertiser Focus: Prospect and qualify leads across global and regional brands, performance marketers, media agencies, agency trading desks, and in-house programmatic teams using your buy-side knowledge to identify the right ICP and the right stakeholder within each organisation. Run targeted, personalised outbound sequences across email, LinkedIn, phone, and industry events tailored to the specific measurement, attribution, and brand safety pain of each advertiser segment. Leverage your existing brand and agency network",Instahyre
Founding Sales Development Representative,Muffin Media,Work From Home,12/09/2026,https://www.instahyre.com/job-422214-founding-sales-development-representative-at-muffin-media-work-from-home/,https://www.muffinmedia.co,Actively Hiring,"Muffin Media is a performance marketing agency that runs ads and creative for med spas and wellness brands in the US. We're hiring a Sales Development Representative to cold call US-based med spa owners and book discovery calls for our co-founder. Responsibilities: Make 150 outbound calls per day to US med spa owners during EST business hours (6:30 PM - 3:30 AM IST). Research each prospect before calling (Instagram, Meta Ad Library, Google, and website, 60-90 seconds per lead). Follow a proven cold call script with room to personalise based on research. Book qualified discovery calls on the co-founder's calendar. Log all calls, outcomes, and notes in CRM within 30 seconds of hanging up. Send follow-up emails and texts to warm leads. Hit weekly targets for dials, conversations, and booked meetings. Requirements: 1-4 years of outbound cold calling experience on US accounts (BPO, SaaS SDR, real estate cold calling, insurance, or solar). Accent-neutral English: clear, confident, conversati",Instahyre
Sr. Sales Development Representative,SalesMonk.ai,Gurgaon,12/09/2026,https://www.instahyre.com/job-409396-sr-sales-development-representative-at-salesmonk-gurgaon/,https://www.salesmonk.ai,Actively Hiring,"Company: SalesMonk.ai | Skills: Sales, Business Development, International Sales | Target: Sr. Sales Development Representative",Instahyre
Business Development Representative (Sales),Klimb.io,Bangalore,12/09/2026,https://www.instahyre.com/job-432071-business-development-representative-sales-at-klimb-bangalore/,https://www.klimbio.com,Actively Hiring,"Company: Klimb.io | Skills: AE, BDR, SDR, SaaS, account executive, qualification | Target: Business Development Representative (Sales)",Instahyre
