Job Role,Company Name,Location,Date Posted,Apply Link,Company Link,No. of Applicants,Job Description,Source,website,apply_link_url
Lead Generation Executive,BuzzTech Media,"Seattle, WA",2026-09-16,https://www.careerbuilder.com/job-details/lead-generation-executive-seattle-wa--64a41ec7-4c94-4d49-8d7a-941aca55c434,https://www.buzztechmedia.com,Actively Hiring,"BuzzTech Media New Lead Generation Executive Seattle, WA 2 days ago",CareerBuilder,https://www.buzztechmedia.com,https://www.careerbuilder.com/job-details/lead-generation-executive-seattle-wa--64a41ec7-4c94-4d49-8d7a-941aca55c434
Sales Manager - Outbound Sales (Facebook Lead Generation & Meta Ads),411 Locals,Chennai,2026-08-19,https://www.careerbuilder.com/job-details/sales-manager-outbound-sales-facebook-lead-generation-meta-ads--53c90b3f-267a-4ff0-bf53-534f5468a58f,https://www.411locals.com,Actively Hiring,"411 Locals Sales Manager - Outbound Sales (Facebook Lead Generation & Meta Ads) Remote $50,000–$100,000 / year 30+ days ago",CareerBuilder,https://www.411locals.com,https://www.careerbuilder.com/job-details/sales-manager-outbound-sales-facebook-lead-generation-meta-ads--53c90b3f-267a-4ff0-bf53-534f5468a58f
"Executive Director, Global Oncology Medical Affairs, Evidence Generation",Immunocore Holdings Plc,"Radnor, PA",2026-08-19,https://www.careerbuilder.com/job-details/executive-director-global-oncology-medical-affairs-evidence-generation-radnor-pa--b27c870a-e5e0-46c2-9ec3-7eaf423994e0,https://www.immunocoreplc.com,Actively Hiring,"Immunocore Holdings Plc Executive Director, Global Oncology Medical Affairs, Evidence Generation Radnor, PA 30+ days ago",CareerBuilder,https://www.immunocoreplc.com,https://www.careerbuilder.com/job-details/executive-director-global-oncology-medical-affairs-evidence-generation-radnor-pa--b27c870a-e5e0-46c2-9ec3-7eaf423994e0
VP of Partner Sales & Lead Generation - US Based,Vensure Employer Services Inc,AZ,2026-08-28,https://www.careerbuilder.com/job-details/vp-of-partner-sales-lead-generation-us-based-phoenix-az--c6b0e647-a6d7-4972-a448-cf15a44251fd,https://www.vensureemployer.com,Actively Hiring,Vensure Employer Services Inc VP of Partner Sales & Lead Generation - US Based AZ 21 days ago,CareerBuilder,https://www.vensureemployer.com,https://www.careerbuilder.com/job-details/vp-of-partner-sales-lead-generation-us-based-phoenix-az--c6b0e647-a6d7-4972-a448-cf15a44251fd
Demand Generation Lead,Dovetail Research Pty. Ltd.,Chennai,2026-09-07,https://www.careerbuilder.com/job-details/demand-generation-lead--9bc1899a-c05a-4911-ac82-cbb4ffeffc70,https://www.dovetailresearchptyltd.com,Actively Hiring,Dovetail Research Pty. Ltd. Demand Generation Lead 11 days ago,CareerBuilder,https://www.dovetailresearchptyltd.com,https://www.careerbuilder.com/job-details/demand-generation-lead--9bc1899a-c05a-4911-ac82-cbb4ffeffc70
Senior Auto Sales Executive - Outside Sales & Account Generation,D&M Leasing,"Austin, TX",2026-08-28,https://www.careerbuilder.com/job-details/senior-auto-sales-executive-outside-sales-account-generation-austin-tx--cac7c69c-30c0-4c64-b690-dc09ad695e75,https://www.dmleasing.com,Actively Hiring,"D&M Leasing Senior Auto Sales Executive - Outside Sales & Account Generation Austin, TX $400,000 / year 21 days ago",CareerBuilder,https://www.dmleasing.com,https://www.careerbuilder.com/job-details/senior-auto-sales-executive-outside-sales-account-generation-austin-tx--cac7c69c-30c0-4c64-b690-dc09ad695e75
Senior Manager of Lead Generation,FreemanLeonard,"San Antonio, TX",2026-08-19,https://www.careerbuilder.com/job-details/senior-manager-of-lead-generation-san-antonio-tx--12d218a8-372d-494e-9f61-3620164c5bb2,https://www.freemanleonard.com,Actively Hiring,"FreemanLeonard Senior Manager of Lead Generation San Antonio, TX Quick Apply 30+ days ago",CareerBuilder,https://www.freemanleonard.com,https://www.careerbuilder.com/job-details/senior-manager-of-lead-generation-san-antonio-tx--12d218a8-372d-494e-9f61-3620164c5bb2
Demand Generation Lead,Dovetail,Chennai,2026-09-06,https://www.careerbuilder.com/job-details/demand-generation-lead--961f1b9b-7556-4301-89db-ae4d1c75e287,https://www.dovetail.com,Actively Hiring,Role: Demand Generation Lead | Company: Dovetail | Location: Chennai,CareerBuilder,https://www.dovetail.com,https://www.careerbuilder.com/job-details/demand-generation-lead--961f1b9b-7556-4301-89db-ae4d1c75e287
"Strategic Account Executive, Power & Grid - Power Generation",Schneider Electric SE,"Houston, TX",2026-08-19,https://www.careerbuilder.com/job-details/strategic-account-executive-power-grid-power-generation-houston-tx--63f4f45e-5b19-4ad2-8d01-d9d75eacb865,https://www.schneiderelectricse.com,Actively Hiring,"Schneider Electric SE Strategic Account Executive, Power & Grid - Power Generation Houston, TX 30+ days ago",CareerBuilder,https://www.schneiderelectricse.com,https://www.careerbuilder.com/job-details/strategic-account-executive-power-grid-power-generation-houston-tx--63f4f45e-5b19-4ad2-8d01-d9d75eacb865
Lead Project Manager- Large Power Generation,Innio,"Waukesha, Wisconsin",2026-08-23,https://www.careerbuilder.com/job-details/lead-project-manager-large-power-generation-waukesha-wi--8a69363d-4930-4f5c-a1d4-d0082cb3c25b,https://www.innio.com,Actively Hiring,"Innio Lead Project Manager- Large Power Generation Waukesha, Wisconsin 26 days ago",CareerBuilder,https://www.innio.com,https://www.careerbuilder.com/job-details/lead-project-manager-large-power-generation-waukesha-wi--8a69363d-4930-4f5c-a1d4-d0082cb3c25b
